Id,Year
492,1951
493,1951
494,1951
495,1951
496,1951
497,1951
498,1951
499,1951
500,1951
501,1951
502,1951
503,1951
504,1951
505,1951
506,1951
507,1951
508,1951
509,1951
510,1951
511,1951
512,1951
513,1951
514,1951
515,1951
516,1951
517,1951
518,1951
519,1951
520,1951
521,1951
522,1951
523,1951
524,1951
525,1951
526,1951
527,1951
528,1951
529,1951
530,1951
531,1951
532,1951
533,1951
534,1951
535,1951
536,1951
537,1951
538,1951
539,1951
540,1951
541,1951
542,1951
543,1951
544,1951
545,1951
546,1951
547,1951
548,1951
549,1951
550,1952
551,1952
552,1952
553,1952
554,1952
555,1952
556,1952
557,1952
558,1952
559,1952
560,1952
561,1952
562,1952
563,1952
564,1952
565,1952
566,1952
567,1952
568,1952
569,1952
570,1952
571,1952
572,1952
573,1952
574,1952
575,1952
576,1952
577,1952
578,1952
579,1952
580,1952
581,1952
582,1952
583,1952
584,1952
585,1952
586,1952
587,1952
588,1952
589,1952
590,1952
591,1952
592,1952
593,1952
594,1952
595,1952
596,1952
597,1952
598,1952
599,1952
600,1952
601,1952
602,1952
603,1952
604,1952
605,1952
606,1952
607,1952
608,1952
609,1952
610,1952
611,1952
612,1952
613,1952
614,1952
615,1952
616,1952
617,1952
618,1952
619,1952
620,1952
621,1952
622,1952
623,1952
624,1952
625,1952
626,1952
627,1952
628,1952
629,1952
630,1952
631,1952
632,1952
633,1952
634,1952
635,1952
636,1952
637,1952
638,1952
639,1952
640,1952
641,1952
642,1952
643,1952
644,1952
645,1952
646,1952
647,1952
648,1952
649,1952
650,1952
651,1952
652,1952
653,1952
654,1952
655,1952
656,1952
657,1952
658,1952
659,1952
660,1952
661,1952
662,1952
663,1952
664,1952
665,1952
666,1952
667,1952
668,1952
669,1952
670,1952
671,1952
672,1952
673,1952
674,1952
675,1952
676,1952
677,1952
678,1952
679,1952
680,1952
681,1953
682,1953
683,1953
684,1953
685,1953
686,1953
687,1953
688,1953
689,1953
690,1953
691,1953
692,1953
693,1953
694,1953
695,1953
696,1953
697,1953
698,1953
699,1953
700,1953
701,1953
702,1953
703,1953
704,1953
705,1953
706,1953
707,1953
708,1953
709,1953
710,1953
711,1953
712,1953
713,1953
714,1953
715,1953
716,1953
717,1953
718,1953
719,1953
720,1953
721,1953
722,1953
723,1953
724,1953
725,1953
726,1953
727,1953
728,1953
729,1953
730,1953
731,1953
732,1953
733,1953
734,1953
735,1953
736,1953
737,1953
738,1953
739,1953
740,1953
741,1953
742,1953
743,1953
744,1953
745,1953
746,1953
747,1953
748,1953
749,1953
750,1953
751,1953
752,1953
753,1953
754,1953
755,1953
756,1953
757,1953
758,1953
759,1953
760,1953
761,1953
762,1953
763,1953
764,1953
765,1953
766,1953
767,1953
768,1953
769,1953
770,1953
771,1953
772,1953
773,1953
774,1953
775,1953
776,1953
777,1953
778,1953
779,1953
780,1953
781,1953
782,1953
783,1953
784,1953
785,1953
786,1953
787,1953
788,1953
789,1953
790,1953
791,1953
792,1953
793,1953
794,1953
795,1953
796,1953
797,1953
798,1953
